Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
403.719,994.522,134.493,426.179,964.516,134.617,422.645,939.783,121.864,408.912,997.966,99.4127
403.807,994.618,134.549,426.194,964.552,134.593,422.637,939.794,121.876,408.925,997.968,99.4148
403.84,994.679,134.559,426.193,964.564,134.602,422.661,939.821,121.875,408.92,997.984,99.3987
403.854,994.707,134.519,426.214,964.586,134.597,422.687,939.867,121.871,408.885,997.894,99.3736
403.865,994.763,134.488,426.223,964.623,134.592,422.68,939.903,121.898,408.833,997.902,99.3146
403.893,994.862,134.498,426.22,964.769,134.595,422.687,939.975,121.899,408.841,997.944,99.3033
403.984,994.987,134.499,426.254,964.857,134.638,422.717,940.064,121.92,408.988,998.204,99.3836
403.943,995.091,134.408,426.22,964.969,134.626,422.703,940.154,121.953,409.001,998.344,99.3658
403.941,995.229,134.382,426.149,965.043,134.633,422.738,940.32,121.986,408.954,998.384,99.3244
404.004,995.415,134.455,426.229,965.437,134.661,422.719,940.471,122.022,408.947,998.532,99.3236
404.042,995.481,134.373,426.254,965.72,134.551,422.709,940.702,122.066,408.908,998.76,99.3044
403.915,995.854,134.456,426.101,965.881,134.607,422.629,940.967,122.108,408.874,998.992,99.3099
403.807,996.097,134.475,426.069,966.304,134.687,422.548,941.262,122.17,408.792,999.247,99.2941
403.593,996.542,134.388,425.939,966.441,134.73,422.493,941.461,122.18,408.708,999.498,99.3141
403.553,996.684,134.421,425.709,966.774,134.777,422.301,941.765,122.337,408.596,999.757,99.3209
403.3,996.988,134.406,425.342,967.25,134.923,422.122,942.029,122.435,408.46,999.978,99.3207
403.246,997.157,134.457,425.126,967.517,134.967,422.057,942.283,122.576,408.257,1000.24,99.3553
402.815,997.71,134.621,424.888,967.765,135.057,421.595,942.454,122.72,408.084,1000.4,99.2913
402.517,997.639,134.389,424.717,968.001,135.036,421.516,942.639,122.757,407.837,1000.63,99.3052
402.101,997.816,134.425,424.429,968.078,134.936,421.359,942.97,122.833,407.435,1000.68,99.2335
401.762,998.032,134.414,424.208,968.409,135.116,421.138,943.203,122.914,407.203,1000.98,99.3126
401.323,998.299,134.44,423.822,968.532,135.118,421.096,943.475,122.964,406.889,1001.11,99.3276
400.986,998.597,134.558,423.52,968.942,135.349,420.585,943.697,123.029,406.588,1001.26,99.3788
400.62,998.702,134.608,423.208,968.723,135.352,420.355,943.852,123.072,406.303,1001.34,99.4425
400.342,998.518,134.524,422.812,969.166,135.418,420.433,943.76,123.088,406.035,1001.35,99.5227
400.044,998.503,134.538,422.74,969.099,135.506,419.977,943.531,123.264,405.678,1001.17,99.4463
399.876,998.304,134.538,422.523,969.281,135.634,419.822,943.747,123.254,405.591,1001.17,99.62
399.618,998.173,134.615,422.392,969.152,135.702,419.736,943.687,123.242,405.242,1000.9,99.5222
399.473,998.067,134.642,422.325,969.044,135.672,419.69,943.595,123.243,405.12,1000.89,99.5764
399.342,997.86,134.718,422.224,968.912,135.532,419.702,943.484,123.186,405.093,1000.96,99.6781
399.289,997.717,134.755,422.23,968.713,135.571,419.707,943.349,123.135,404.992,1000.87,99.7082
399.223,997.521,134.794,422.247,968.48,135.51,420.148,943.245,123.017,404.943,1000.79,99.774
399.201,997.402,134.88,422.281,968.451,135.569,420.158,943.065,122.966,404.954,1000.69,99.7917
399.407,997.195,134.849,422.352,968.319,135.55,420.227,943.055,122.959,405.009,1000.6,99.7969
399.498,997.065,134.885,422.585,968.112,135.393,420.551,942.835,122.804,405.135,1000.53,99.7993
